0	Morris S. Miller	New York City	True
1	Emmanuel Scheffer	Germany	True
2	Moreira Chonguica	Maputo	False
3	Jack Curtner	Greenville	True
4	Juan Laporte	Guayama	True
5	Muhammad Tulaimat	Homs	False
6	Vanessa Chinitor	Dendermonde	True
7	Angus Mackay	Lima	True
8	John Milne Bramwell	Perth	True
9	Rosabelle Sinclair	Russia	True
10	Juan Bautista de Lezana	Madrid	True
11	Juraj Njavro	Neum	False
12	Samuel Argent Bardsley	Kelvedon	True
14	Ana Luiza Nobre	Rio de Janeiro	True
15	Eric Ash	Berlin	True
16	Giorgio Gomelsky	Marquee Club	False
17	Adam Mohuczy	Vitebsk	True
18	Morris Bear Squire	Chicago	True
19	Dennis Conta	Milwaukee	True
21	Carol Townend	Harrogate	True
22	J. J. Stevenson	Glasgow	True
23	Celestino Sfondrati	Milan	True
24	John McLaren, Lord McLaren	Edinburgh	True
25	Leon Polk Smith	Chickasha	False
27	Patrick Thomas Stone	Pembroke	True
28	Isaac Passy	Plovdiv	True
29	Jonny Restrick	Northern Ireland	True
30	Hermann Wilbrand	Gießen	True
31	Jonathan Darlington	Lapworth	True
32	William Bayly	Bishops Cannings	True
33	Boso Breakspeare	Lucca	False
34	Chu Fujia	Jiangsu	True
35	Peretz Smolenskin	Mogilev	False
36	Alex Halberstadt	Moscow	True
37	Jocelyne Binet	Sherbrooke	False
38	Hellmuth Christian Wolff	Zurich	True
39	Ad Bol	Roosendaal	True
40	William Fogerty	Limerick	True
41	Elmer A. Morse	Franksville	True
42	Laurence Lampert	Winnipeg	True
43	Ashley Gilbertson	Australia	True
44	Rudolph Lexow	Tönning	True
46	Che Arthur	Mobile	True
47	Linda Crockett	Hamilton	True
48	Mark Robinson	Rochdale	True
49	Olga Taratuta	Kherson	False
50	Francisco de Osuna	Seville	True
51	Raymond Garneau	Plessisville	True
52	Thomas Walkington	Lincoln	False
53	John Nichols	Eagle Rock	False
54	Keenan Smith	Lancaster	False
55	Karl Leo	Freiburg im Breisgau	True
56	Michael Shine	Warren	True
57	Alan Fisher	Birmingham	True
58	Vilwamangalam Swamiyar	Bengal	False
59	Maude Duncan	Virginia	True
60	Claude Bourgelat	Lyon	True
61	Morton Estrin	Burlington	True
62	Domenico Fancelli	Florence	False
63	Keppel Harcourt Barnard	London	True
64	Gilbert Velasquez	Seguin	True
65	Henry Hall	Sheffield	True
66	Nurcholish Madjid	Jombang Regency	True
67	Lars Gabriel von Haartman	Turku	True
68	Nina Repeta	Shelby	True
69	Francis X. Cretzmeyer	Emmetsburg	True
70	Henry Lovell	Coaticook	False
71	Clive Malcolm Griffiths	United Kingdom	True
72	Thomas Oakley Anderson	Sussex County, New Jersey	True
73	Francis Davis	Philadelphia	True
74	Oskar Simon	Berlin	False
75	John Guyse	Hertford	True
76	Nicolas Deschamps	Villefranche-sur-Saône	True
77	Mark Koevermans	Rotterdam	True
78	George Smalridge	Lichfield	True
79	Henri Grégoire	Lunéville	False
80	Anton Uesson	Läänemaa	True
81	George Wright	Clonakilty	False
82	Arnela Odžaković	Trebinje	True
83	Artur de Sousa Pinga	Funchal	True
84	Walter Bergman	Königsberg	True
85	George Stone	Fulham	True
86	André Filho	Rio de Janeiro	True
87	Ric Marlow	New York City	True
88	Edward Tessier	Pomona	True
89	Jeff Morris	San Juan Islands	False
90	Max Ferguson	New York City	True
91	John D. Raffaelli	Texarkana, TX-Texarkana, AR Metropolitan Statistical Area	True
92	Betty Zanolli Fabila	Mexico City	True
93	Buland Akhtar Rana	Multan	False
94	Alan Welsh	Edinburgh	True
95	Ernest Lafont	Lyon	True
96	Olive San Louie Anderson	Lexington, Kentucky	False
97	François Ozenda	Marseille	True
98	Ángel Garma	Spain	True
99	Richard Bilby	Tucson	True
